family,total_traces,official_process_true,official_result_true,models_with_official_process,models_with_official_result
AnimeGANv3,24,0,0,,
DeOldify,24,0,0,,
DeScratch,24,0,0,,
Eparse,24,8,5,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-14B;mistralai__Mistral-Small-3.1-24B-Instruct-2503,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-14B;mistralai__Mistral-Small-3.1-24B-Instruct-2503
Faker,24,7,7,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-14B;Qwen__Qwen3-32B,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-14B;Qwen__Qwen3-32B
FunASR,24,0,0,,
InvisibleWatermark,24,0,0,,
NeuroKit,24,2,0,Qwen2.5-14B-Instruct,
PDFPlumber,24,8,5,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-32B,Qwen2.5-14B-Instruct;Qwen2.5-32B-Instruct;Qwen__Qwen3-32B
PyPDF2,24,0,0,,
Scrapy,24,3,0,Qwen2.5-32B-Instruct;Qwen__Qwen3-32B,
SpeechBrain,40,2,2,Qwen2.5-32B-Instruct;Qwen__Qwen3-32B,Qwen2.5-32B-Instruct;Qwen__Qwen3-32B
Stegano,24,0,0,,
StyleTransfer,24,0,0,,
SuperResolution,24,0,0,,
Trafilatura,24,2,2,Qwen__Qwen3-32B;mistralai__Mistral-Small-3.1-24B-Instruct-2503,Qwen__Qwen3-32B;mistralai__Mistral-Small-3.1-24B-Instruct-2503
TransparentBackground,24,0,0,,
VideoPose3D,8,0,0,,
