task_id,family,models,official_process_true,official_result_true,models_with_result
AnimeGANv3_01,AnimeGANv3,3,0,0,
Eparse_02,Eparse,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
Faker_01,Faker,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
Faker_03,Faker,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
NeuroKit_01,NeuroKit,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
PDFPlumber_01,PDFPlumber,3,3,2,gemini-2.5-pro-preview-06-05;gpt-5-chat-2025-08-07
PDFPlumber_02,PDFPlumber,3,2,0,
PDFPlumber_03,PDFPlumber,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
Scrapy_03,Scrapy,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
SpeechBrain_05,SpeechBrain,3,1,1,gpt-5-chat-2025-08-07
Trafilatura_01,Trafilatura,3,2,0,
Trafilatura_02,Trafilatura,3,0,0,
Trafilatura_03,Trafilatura,3,2,2,gpt-5-chat-2025-08-07;gpt-5.2-2025-12-11
VideoPose3D_01,VideoPose3D,3,0,0,
