task_id,family,models,official_process_true,official_result_true,models_with_result
AnimeGANv3_01,AnimeGANv3,1,0,0,
Eparse_02,Eparse,1,1,1,gpt-5-chat-2025-08-07
Faker_01,Faker,1,1,1,gpt-5-chat-2025-08-07
Faker_03,Faker,1,1,1,gpt-5-chat-2025-08-07
NeuroKit_01,NeuroKit,1,1,1,gpt-5-chat-2025-08-07
PDFPlumber_01,PDFPlumber,1,1,1,gpt-5-chat-2025-08-07
PDFPlumber_02,PDFPlumber,1,1,0,
PDFPlumber_03,PDFPlumber,1,1,1,gpt-5-chat-2025-08-07
Scrapy_03,Scrapy,1,1,1,gpt-5-chat-2025-08-07
SpeechBrain_05,SpeechBrain,1,1,1,gpt-5-chat-2025-08-07
Trafilatura_01,Trafilatura,1,1,0,
Trafilatura_02,Trafilatura,1,0,0,
Trafilatura_03,Trafilatura,1,1,1,gpt-5-chat-2025-08-07
VideoPose3D_01,VideoPose3D,1,0,0,
