task_id,family,models,official_process_true,official_result_true,models_with_result
AnimeGANv3_01,AnimeGANv3,1,0,0,
AnimeGANv3_02,AnimeGANv3,1,0,0,
AnimeGANv3_03,AnimeGANv3,1,0,0,
DeOldify_01,DeOldify,1,0,0,
DeOldify_02,DeOldify,1,0,0,
DeOldify_03,DeOldify,1,0,0,
DeScratch_01,DeScratch,1,0,0,
DeScratch_02,DeScratch,1,0,0,
DeScratch_03,DeScratch,1,0,0,
Eparse_01,Eparse,1,1,1,gpt-5-chat-2025-08-07
Eparse_02,Eparse,1,1,1,gpt-5-chat-2025-08-07
Eparse_03,Eparse,1,1,0,
Faker_01,Faker,1,1,1,gpt-5-chat-2025-08-07
Faker_02,Faker,1,1,1,gpt-5-chat-2025-08-07
Faker_03,Faker,1,1,1,gpt-5-chat-2025-08-07
FunASR_01,FunASR,1,0,0,
FunASR_02,FunASR,1,0,0,
FunASR_03,FunASR,1,0,0,
InvisibleWatermark_01,InvisibleWatermark,1,0,0,
InvisibleWatermark_02,InvisibleWatermark,1,0,0,
InvisibleWatermark_03,InvisibleWatermark,1,0,0,
NeuroKit_01,NeuroKit,1,1,0,
NeuroKit_02,NeuroKit,1,1,0,
NeuroKit_03,NeuroKit,1,0,0,
PDFPlumber_01,PDFPlumber,1,1,1,gpt-5-chat-2025-08-07
PDFPlumber_02,PDFPlumber,1,1,1,gpt-5-chat-2025-08-07
PDFPlumber_03,PDFPlumber,1,1,1,gpt-5-chat-2025-08-07
PyPDF2_01,PyPDF2,1,1,1,gpt-5-chat-2025-08-07
PyPDF2_02,PyPDF2,1,1,1,gpt-5-chat-2025-08-07
PyPDF2_03,PyPDF2,1,1,1,gpt-5-chat-2025-08-07
Scrapy_01,Scrapy,1,1,1,gpt-5-chat-2025-08-07
Scrapy_02,Scrapy,1,1,1,gpt-5-chat-2025-08-07
Scrapy_03,Scrapy,1,1,1,gpt-5-chat-2025-08-07
SpeechBrain_01,SpeechBrain,1,0,0,
SpeechBrain_02,SpeechBrain,1,0,0,
SpeechBrain_03,SpeechBrain,1,0,0,
SpeechBrain_04,SpeechBrain,1,0,0,
SpeechBrain_05,SpeechBrain,1,0,0,
Stegano_01,Stegano,1,0,0,
Stegano_02,Stegano,1,1,0,
Stegano_03,Stegano,1,0,0,
StyleTransfer_01,StyleTransfer,1,0,0,
StyleTransfer_02,StyleTransfer,1,0,0,
StyleTransfer_03,StyleTransfer,1,0,0,
SuperResolution_01,SuperResolution,1,0,0,
SuperResolution_02,SuperResolution,1,0,0,
SuperResolution_03,SuperResolution,1,1,1,gpt-5-chat-2025-08-07
Trafilatura_01,Trafilatura,1,1,0,
Trafilatura_02,Trafilatura,1,0,0,
Trafilatura_03,Trafilatura,1,1,1,gpt-5-chat-2025-08-07
TransparentBackground_01,TransparentBackground,1,0,0,
TransparentBackground_02,TransparentBackground,1,0,0,
TransparentBackground_03,TransparentBackground,1,0,0,
VideoPose3D_01,VideoPose3D,1,0,0,
